Relates to User Story ID,Req ID,Section,Area,Requirement*,Priority,Source,Change Status,Acceptance criteria*,Build Version,Resolution Status,Notes,Tech Notes
None,ACT-1,Access Control,Authentication,Valid Synapse account required to access cohort builder.,Must Have,Requirements v1.1,Unchanged,User blocked without login; access granted with valid account.,3,Needs Discussion,Need to specify what level of cohort builder this applies to,UI component if separate levels are required (open + registered). If entire tool is under registered access this is just a control setting on a table
None,ACT-2,Access Control,Data governance,[placeholder for requirements related to data governance and access control user stories],Must Have,New,New,,,Needs Discussion,,check back on this in future
None,ACT-3,Access Control,Authentication,Authentication enforcement.,Must Have,Requirements v1.1,Unchanged,Invalid/expired tokens return 401; valid token allows access.,3,Needs Discussion,Defer to Tech. Principle here is that authentication requirements for CB should be enforced; Tech can decide how that is done.,Prompt to sign in to view resource (minimal to no tech work)
-,ACT-4,Access Control,Data governance,"System SHALL render filter fields in one of three states based on the caller's access tier: (1) Active — Tier 1, selectable. (2) Locked — visible with lock icon and tier badge, not selectable without higher access. (3) Unavailable — field exists but data is incomplete for this portal/study. ⚠ See Decision D-05.",Must Have,New - Requirements v2.0,New,All three render states visible in ELITE and ADKP filter panels. Locked fields display lock icon and correct tier label. 'Request access' CTA links to Synapse access request workflow.,3,Rejected,SciData does not need this specific solution; but we do need to define requirements to fulfill the PCO framework for privacy and security. ,
-,ACT-5,Access Control,Data governance,"Locked fields SHALL display a 'Request access' CTA that navigates the researcher to the appropriate Synapse access request workflow, pre-populated with the portal and tier context. ⚠ See Decision D-06.",Must Have,New - Requirements v2.0,New,Clicking 'Request access' on a locked field opens access request flow. Portal ID and tier level are pre-populated. Researcher does not need to manually identify which access request to submit.,3,Rejected,SciData does not need this specific solution; but we do need a smooth user flow from cohort identification -> request access to data,
-,ACT-6,Access Control,Data governance,All data accessed through Cohort Builder SHALL remain available for research use under Sage Bionetworks governance.,Must Have,Requirements v1.1,Clarified,Terms of use displayed on access. Data access controlled per portal DUA/IDU requirements. ⚠ See Decision D-07 — Ann/Jo to clarify UI implications.,3,Rejected,Out of scope. This refers to communication of data access terms of use.,
-,ACT-7,Access Control,Data governance,Cohorts created SHALL inherit the access tier requirements of the fields used to define them. The cohort definition's minimum required access tier is the maximum tier of any active filter field.,Must Have,Requirements v1.1,Revised,System computes and displays the minimum required access tier for the current filter state. A cohort definition using Tier 2 fields is labeled 'Requires Tier 2 access'. Access tier label updates dynamically as filters are applied. ⚠ See Decision D-08.,3,Rejected,SciData does not need this specific solution.,
None,ACT-8,Access Control,Data governance,System SHALL enforce ADKP access control policies. The ROSMAP internal projid SHALL be excluded from all ADKP responses at all tiers.,Must Have,Requirements v1.1,Clarified,ROSMAP projid is excluded from ADKP query layer inputs and outputs and cannot be accessed by end users.,3,Confirmed,See Ann C and ADKP team for more information.,BDM curation requirement - dont include ROSMAP projid
None,ACT-9,Access Control,Ethical use,Researchers MUST adhere to ethical use policies when defining cohorts.,Must Have,Requirements v1.1,Unchanged,Cohort builder users must accept terms of use prior to using the tool. Terms of use policies displayed in the UI.,3,Needs Discussion,"Defer to PCO. Need to define ""ethical use policies"" that apply",minimal front end/back end work to display one time click wrap (UX) - click wrap is an AR
,ADF-1,ADKP Facet Definitions,Demographics,ageDeath: Tier 1 value = '90+' (all ages >= 90 censored per HIPAA and ADKP Harmonization Study convention). Age bands below 90 available as Tier 1 filters if metadata is complete. ⚠ See Decision D-04 for cross-portal age harmonization.,Must Have,New - Requirements v2.0,New,ageDeath filter displays censored categories. '90+' is a single Tier 1 bucket. No sub-90+ granularity exposed at Tier 1. Consistent with ADKP Harmonization Study (syn70781457).,,Unvalidated,Defer to ELITE as ADKP does not have a requirement to restrict this data,"row level data in private table, aggregate summary only on public display"
,ADF-2,ADKP Facet Definitions,Demographics,sex: Tier 1 where harmonized. Follows same per-study completeness model as ELITE-F-2. ⚠ Harmonization Change Status incomplete per Section 4 metadata table — same resolution applies.,Must Have,New - Requirements v2.0,New,Sex filter per-study completeness badge. Unavailable indicator for studies with incomplete harmonization.,,Confirmed,,may be curation effort not tech requirement
,ADF-3,ADKP Facet Definitions,Clinical,diagnosisCategory: AD / MCI / control / other. Tier 1. neuropathConfirmed: boolean. Tier 2 — isQuasiIdentifier = true. cognitiveTrajectory: Tier 2. ⚠ See Decision D-05.,Must Have,New - Requirements v2.0,New,diagnosisCategory active at Tier 1. neuropathConfirmed and cognitiveTrajectory visible as locked Tier 2 fields.,,Confirmed,tier 1 access control - open to all,no additional tech work identified
,ADF-4,ADKP Facet Definitions,Genetics,apoeChange Status (apoeGenotype): Tier 2 — isQuasiIdentifier = true. Values harmonized per ADKP Harmonization Study. NPS-AD WGS-derived values are ground truth per harmonization SOP.,Must Have,New - Requirements v2.0,New,apoeChange Status visible as locked Tier 2 field. Harmonized values consistent with ADKP Harmonization Study encoding.,,Rejected,"tier 1 access control - open to all, tier 2 controlled access",Technical implementation of this is difficult esp considering ELs AR structure so different study to study
,ADF-5,ADKP Facet Definitions,Tissue,brainRegion: DLPFC / hippocampus / entorhinal cortex / cerebellum / other. Tier 1. organ: Tier 1.,Must Have,New - Requirements v2.0,New,brainRegion filter active at Tier 1 for studies with brain tissue data. Controlled vocabulary validated.,,Needs Discussion,,no additional tech work identified
,ADF-6,ADKP Facet Definitions,Project,study: Study ID + display name. Tier 1. cohort/dataContributionGroup: Tier 1. Annotation completeness badge per study.,Must Have,New - Requirements v2.0,New,Study filter displays all active ADKP cohort builder studies with completeness badges.,,Confirmed,,no additional tech work identified
,ADF-7,ADKP Facet Definitions,Data modality,"assay, dataType, dataSubtype, resourceType: same structure as ELITE, OBI-mapped. All Tier 1.",Must Have,New - Requirements v2.0,New,All data modality filters active at Tier 1. Consistent vocabulary with ELITE.,,Confirmed,,no additional tech work identified
,ADF-8,ADKP Facet Definitions,File attributes,isMultiSpecimen: same as ELITE-F-7. excludeFromCohortBuilder: system-level flag. Files with this flag excluded from individual-level extraction pathway with transparency message.,Must Have,New - Requirements v2.0,New,Multispecimen exclusion flags populated in ADKP Tracking Table (syn72036696). UI surfaces transparency message per REQ-FILT-5.,,Unvalidated,,
